Buổi,Cảm xúc,Độ tuổi,Số lượng người,Thời tiết,Phong cách ẩm thực,Loại hình quán ăn,Chế độ ăn,Đặc Biệt,Độ phổ biến,Loại đồ ăn,,,,,
Tối,Vui,29,5,Hơi Nóng,Trung quốc,Nhà Hàng Sang Trọng,ăn thoải mái,có phòng trông trẻ,đặc sản,Món nước,,,,,
Tối,Khó chịu,33,3,Hơi lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn chay,có phòng trông trẻ,hot trend,đồ ăn vặt,,,,,
Đêm,Buồn,13,2,Qúa lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn thoải mái,có không gian ngoài trời,bestseller,Món nước,,,,,
Chiều,Vui,28,4,Quá Nóng,Món cho trẻ em,Quán Vỉa Hè,ăn thoải mái,có không gian ngoài trời,bình thường,Món lạnh,,,,,
Đêm,Vui,28,3,Qúa lạnh,Trung quốc,Nhà hàng bình dân,ăn kiêng,có không gian ngoài trời,bình thường,Món cho trẻ em,,,,,
Tối,Buồn,20,1,Hơi lạnh,miền nam,Quán Vỉa Hè,ăn kiêng,wifi miễn phí,bestseller,Món Tráng miệng,,,,,
Sáng,Khó chịu,22,4,Hơi lạnh,Trung quốc,Nhà hàng bình dân,ăn chay,có phòng trông trẻ,bình thường,Món cho trẻ em,,,,,
Chiều,Vui,35,3,Lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn kiêng,có phòng hút thuốc,bình thường,đồ ăn vặt,,,,,
Trưa,Buồn,8,1,Nóng,Trung quốc,Quán Vỉa Hè,ăn kiêng,wifi miễn phí,bestseller,đồ ăn vặt,,,,,
Sáng,Khó chịu,5,1,Quá Nóng,Việt nam,Nhà Hàng Sang Trọng,ăn chay,có không gian ngoài trời,bestseller,Món Tráng miệng,,,,,
Đêm,Vui,38,3,Hơi lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn kiêng,wifi miễn phí,bình thường,Món Tráng miệng,,,,,
Sáng,Vui,20,1,Quá Nóng,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn chay,Đang giảm giá,bestseller,Món lạnh,,,,,
Sáng,Bình thường,31,5,Hơi Nóng,Món cho trẻ em,Nhà hàng bình dân,ăn kiêng,wifi miễn phí,bestseller,Món nước,,,,,
Chiều,Khó chịu,13,3,Qúa lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn kiêng,có không gian ngoài trời,bình thường,đồ ăn vặt,,,,,
Chiều,Buồn,15,4,Qúa lạnh,Trung quốc,Nhà hàng bình dân,ăn thoải mái,có không gian ngoài trời,đặc sản,Món lạnh,,,,,
Trưa,Vui,34,3,Nóng,hàn quốc,Quán Vỉa Hè,ăn thoải mái,Đang giảm giá,bestseller,Món Tráng miệng,,,,,
Đêm,Vui,37,3,Hơi lạnh,Việt nam,Quán Vỉa Hè,ăn chay,có phòng trông trẻ,bestseller,đồ ăn vặt,,,,,
Trưa,Bình thường,6,5,Mát,miền nam,Quán Vỉa Hè,ăn kiêng,có phòng trông trẻ,bình thường,Món lạnh,,,,,
Đêm,Vui,28,5,Quá Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn kiêng,có phòng hút thuốc,đặc sản,Món cho trẻ em,,,,,
Trưa,Khó chịu,40,5,Mát,Việt nam,Nhà Hàng Sang Trọng,ăn kiêng,wifi miễn phí,bình thường,Món lạnh,,,,,
Tối,Khó chịu,23,1,Hơi lạnh,Việt nam,Quán Vỉa Hè,ăn thoải mái,có phòng trông trẻ,hot trend,Món lạnh,,,,,
Trưa,Buồn,30,5,Quá Nóng,Món cho trẻ em,Quán Vỉa Hè,ăn thoải mái,có không gian ngoài trời,bình thường,Món lạnh,,,,,
Tối,Bình thường,33,3,Lạnh,miền nam,Nhà hàng bình dân,ăn chay,wifi miễn phí,hot trend,Món lạnh,,,,,
Tối,Buồn,9,1,Mát,Việt nam,Nhà hàng bình dân,ăn kiêng,có phòng hút thuốc,bestseller,Món Tráng miệng,,,,,
Trưa,Buồn,36,3,Nóng,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,Có giao hàng free,đặc sản,Món nước,,,,,
Tối,Buồn,30,1,Quá Nóng,Việt nam,Nhà hàng bình dân,ăn thoải mái,wifi miễn phí,hot trend,đồ ăn vặt,,,,,
Trưa,Khó chịu,8,3,Hơi Nóng,miền nam,Nhà hàng bình dân,ăn kiêng,Có giao hàng free,bình thường,Món cho trẻ em,,,,,
Trưa,Vui,12,3,Mát,Việt nam,Nhà Hàng Sang Trọng,ăn chay,Có giao hàng free,bestseller,Món lạnh,,,,,
Sáng,Bình thường,31,2,Mát,miền nam,Quán Vỉa Hè,ăn kiêng,có phòng trông trẻ,bình thường,Món Tráng miệng,,,,,
Sáng,Khó chịu,38,2,Hơi lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn chay,Đang giảm giá,bestseller,Món Tráng miệng,,,,,
Chiều,Bình thường,26,1,Lạnh,hàn quốc,Quán Vỉa Hè,ăn kiêng,wifi miễn phí,hot trend,đồ ăn vặt,,,,,
Tối,Buồn,38,4,Qúa lạnh,miền nam,Nhà Hàng Sang Trọng,ăn kiêng,Có giao hàng free,bestseller,Món cho trẻ em,,,,,
Chiều,Khó chịu,34,4,Hơi lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn chay,có chỗ đỗ xe,bình thường,Món Tráng miệng,,,,,
Tối,Khó chịu,14,3,Hơi Nóng,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn chay,có không gian ngoài trời,hot trend,Món cho trẻ em,,,,,
Sáng,Bình thường,23,5,Hơi lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn kiêng,wifi miễn phí,bình thường,đồ ăn vặt,,,,,
Chiều,Bình thường,40,4,Hơi lạnh,Việt nam,Quán Vỉa Hè,ăn chay,Đang giảm giá,bestseller,Món cho trẻ em,,,,,
Sáng,Khó chịu,14,2,Lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn thoải mái,có không gian ngoài trời,bình thường,Món lạnh,,,,,
Sáng,Khó chịu,25,2,Qúa lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn thoải mái,Có giao hàng free,bestseller,Món Tráng miệng,,,,,
Sáng,Bình thường,16,4,Quá Nóng,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn thoải mái,có không gian ngoài trời,bestseller,Món lạnh,,,,,
Trưa,Khó chịu,31,2,Quá Nóng,Trung quốc,Nhà Hàng Sang Trọng,ăn thoải mái,có chỗ đỗ xe,đặc sản,Món Tráng miệng,,,,,
Tối,Buồn,13,2,Hơi Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,hot trend,Món cho trẻ em,,,,,
Đêm,Buồn,26,5,Lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn thoải mái,wifi miễn phí,bình thường,Món nước,,,,,
Tối,Bình thường,19,5,Hơi Nóng,hàn quốc,Nhà hàng bình dân,ăn chay,có phòng hút thuốc,bestseller,Món lạnh,,,,,
Đêm,Vui,33,4,Hơi Nóng,miền nam,Nhà hàng bình dân,ăn chay,có phòng hút thuốc,đặc sản,Món lạnh,,,,,
Đêm,Bình thường,33,3,Qúa lạnh,miền nam,Nhà Hàng Sang Trọng,ăn kiêng,có không gian ngoài trời,bestseller,Món cho trẻ em,,,,,
Tối,Bình thường,5,5,Hơi lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn chay,wifi miễn phí,đặc sản,Món nước,,,,,
Chiều,Bình thường,8,1,Mát,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,có phòng hút thuốc,bình thường,Món Tráng miệng,,,,,
Tối,Buồn,28,5,Quá Nóng,hàn quốc,Quán Vỉa Hè,ăn thoải mái,có chỗ đỗ xe,đặc sản,Món Tráng miệng,,,,,
Sáng,Buồn,36,3,Hơi lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn chay,Đang giảm giá,bestseller,đồ ăn vặt,,,,,
Đêm,Bình thường,32,5,Hơi Nóng,Món cho trẻ em,Quán Vỉa Hè,ăn thoải mái,Đang giảm giá,bình thường,Món Tráng miệng,,,,,
Sáng,Vui,35,2,Quá Nóng,miền nam,Nhà hàng bình dân,ăn thoải mái,có phòng trông trẻ,bestseller,Món cho trẻ em,,,,,
Trưa,Vui,30,1,Lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn chay,Đang giảm giá,hot trend,Món Tráng miệng,,,,,
Chiều,Vui,22,3,Mát,Việt nam,Nhà Hàng Sang Trọng,ăn thoải mái,Có giao hàng free,bestseller,Món Tráng miệng,,,,,
Sáng,Buồn,31,1,Hơi lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn thoải mái,Có giao hàng free,bình thường,Món nước,,,,,
Tối,Bình thường,28,4,Nóng,Món cho trẻ em,Quán Vỉa Hè,ăn chay,wifi miễn phí,bình thường,Món lạnh,,,,,
Tối,Vui,34,5,Quá Nóng,Món cho trẻ em,Quán Vỉa Hè,ăn kiêng,có không gian ngoài trời,đặc sản,Món lạnh,,,,,
Đêm,Bình thường,34,4,Quá Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn chay,có phòng hút thuốc,bình thường,Món Tráng miệng,,,,,
Đêm,Buồn,19,5,Quá Nóng,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,có chỗ đỗ xe,hot trend,đồ ăn vặt,,,,,
Chiều,Khó chịu,28,4,Nóng,Việt nam,Nhà Hàng Sang Trọng,ăn chay,Có giao hàng free,bestseller,Món nước,,,,,
Tối,Vui,30,5,Hơi lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,Có giao hàng free,bình thường,Món Tráng miệng,,,,,
Tối,Bình thường,9,3,Qúa lạnh,Trung quốc,Nhà hàng bình dân,ăn kiêng,có phòng hút thuốc,bình thường,Món Tráng miệng,,,,,
Đêm,Bình thường,40,1,Mát,Trung quốc,Nhà hàng bình dân,ăn chay,có phòng hút thuốc,bình thường,Món nước,,,,,
Chiều,Bình thường,26,5,Mát,miền nam,Nhà hàng bình dân,ăn chay,có không gian ngoài trời,bình thường,Món Tráng miệng,,,,,
Chiều,Buồn,7,4,Quá Nóng,Việt nam,Nhà Hàng Sang Trọng,ăn thoải mái,wifi miễn phí,bestseller,Món cho trẻ em,,,,,
Trưa,Vui,36,5,Lạnh,hàn quốc,Nhà hàng bình dân,ăn kiêng,có phòng hút thuốc,hot trend,Món Tráng miệng,,,,,
Trưa,Bình thường,31,5,Qúa lạnh,hàn quốc,Nhà hàng bình dân,ăn thoải mái,có phòng hút thuốc,đặc sản,Món cho trẻ em,,,,,
Đêm,Buồn,19,3,Mát,Việt nam,Nhà Hàng Sang Trọng,ăn kiêng,có chỗ đỗ xe,bestseller,Món cho trẻ em,,,,,
Sáng,Khó chịu,30,2,Mát,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn thoải mái,Có giao hàng free,bestseller,Món cho trẻ em,,,,,
Sáng,Khó chịu,27,3,Hơi Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn kiêng,wifi miễn phí,đặc sản,Món cho trẻ em,,,,,
Tối,Buồn,28,5,Qúa lạnh,Trung quốc,Quán Vỉa Hè,ăn thoải mái,Đang giảm giá,hot trend,Món lạnh,,,,,
Sáng,Buồn,8,3,Mát,miền nam,Nhà hàng bình dân,ăn chay,có phòng trông trẻ,hot trend,đồ ăn vặt,,,,,
Trưa,Vui,23,1,Quá Nóng,Việt nam,Nhà hàng bình dân,ăn kiêng,có phòng trông trẻ,bình thường,Món Tráng miệng,,,,,
Trưa,Bình thường,10,1,Qúa lạnh,miền nam,Nhà hàng bình dân,ăn thoải mái,có phòng trông trẻ,đặc sản,Món Tráng miệng,,,,,
Trưa,Bình thường,18,1,Quá Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn kiêng,có không gian ngoài trời,hot trend,Món Tráng miệng,,,,,
Tối,Buồn,21,2,Quá Nóng,miền nam,Nhà Hàng Sang Trọng,ăn chay,có phòng trông trẻ,đặc sản,Món lạnh,,,,,
Trưa,Buồn,14,3,Quá Nóng,miền nam,Nhà Hàng Sang Trọng,ăn kiêng,Có giao hàng free,hot trend,Món lạnh,,,,,
Đêm,Buồn,40,2,Qúa lạnh,miền nam,Nhà Hàng Sang Trọng,ăn kiêng,Đang giảm giá,hot trend,Món lạnh,,,,,
Trưa,Buồn,32,3,Nóng,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,có không gian ngoài trời,đặc sản,Món nước,,,,,
Tối,Khó chịu,35,3,Hơi lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn chay,có không gian ngoài trời,hot trend,Món nước,,,,,
Sáng,Khó chịu,36,5,Mát,Việt nam,Nhà hàng bình dân,ăn chay,có phòng hút thuốc,bestseller,Món lạnh,,,,,
Tối,Khó chịu,28,5,Hơi Nóng,hàn quốc,Nhà hàng bình dân,ăn chay,có không gian ngoài trời,đặc sản,Món Tráng miệng,,,,,
Trưa,Bình thường,12,4,Hơi lạnh,hàn quốc,Nhà hàng bình dân,ăn thoải mái,Đang giảm giá,bestseller,đồ ăn vặt,,,,,
Chiều,Buồn,25,3,Hơi lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn kiêng,Đang giảm giá,đặc sản,Món lạnh,,,,,
Trưa,Khó chịu,18,2,Quá Nóng,Việt nam,Quán Vỉa Hè,ăn kiêng,có chỗ đỗ xe,đặc sản,Món cho trẻ em,,,,,
Trưa,Khó chịu,16,4,Hơi Nóng,Món cho trẻ em,Nhà hàng bình dân,ăn kiêng,có phòng hút thuốc,bestseller,Món cho trẻ em,,,,,
Đêm,Bình thường,30,2,Qúa lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn chay,Đang giảm giá,bestseller,đồ ăn vặt,,,,,
Tối,Vui,9,2,Mát,Trung quốc,Nhà hàng bình dân,ăn chay,có không gian ngoài trời,bestseller,Món cho trẻ em,,,,,
Chiều,Khó chịu,19,1,Lạnh,Việt nam,Nhà Hàng Sang Trọng,ăn kiêng,có phòng trông trẻ,đặc sản,Món cho trẻ em,,,,,
Trưa,Buồn,37,3,Hơi lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn chay,Đang giảm giá,đặc sản,Món lạnh,,,,,
Trưa,Vui,5,5,Nóng,Trung quốc,Nhà hàng bình dân,ăn thoải mái,có phòng hút thuốc,hot trend,Món Tráng miệng,,,,,
Chiều,Vui,34,4,Hơi Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn thoải mái,wifi miễn phí,bình thường,Món Tráng miệng,,,,,
Trưa,Buồn,22,3,Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn chay,Có giao hàng free,hot trend,Món cho trẻ em,,,,,
Trưa,Khó chịu,5,4,Mát,miền nam,Nhà Hàng Sang Trọng,ăn chay,Đang giảm giá,đặc sản,đồ ăn vặt,,,,,
Chiều,Khó chịu,24,5,Nóng,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn kiêng,Đang giảm giá,bestseller,Món lạnh,,,,,
Đêm,Vui,39,3,Lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,Đang giảm giá,bình thường,Món cho trẻ em,,,,,
Sáng,Khó chịu,5,1,Hơi lạnh,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn chay,có chỗ đỗ xe,hot trend,Món cho trẻ em,,,,,
Sáng,Khó chịu,35,4,Hơi lạnh,miền nam,Nhà Hàng Sang Trọng,ăn kiêng,có không gian ngoài trời,đặc sản,đồ ăn vặt,,,,,
Chiều,Khó chịu,11,2,Qúa lạnh,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn kiêng,Có giao hàng free,hot trend,Món nước,,,,,
Tối,Khó chịu,40,2,Mát,Việt nam,Nhà hàng bình dân,ăn thoải mái,có chỗ đỗ xe,bestseller,Món lạnh,,,,,
Tối,Buồn,29,2,Nóng,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn kiêng,có chỗ đỗ xe,hot trend,Món cho trẻ em,,,,,
Chiều,Vui,20,4,Qúa lạnh,miền nam,Quán Vỉa Hè,ăn kiêng,wifi miễn phí,đặc sản,Món nước,,,,,
Tối,Vui,26,1,Mát,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,có phòng trông trẻ,đặc sản,đồ ăn vặt,,,,,
Chiều,Bình thường,12,2,Hơi Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn chay,Có giao hàng free,hot trend,Món Tráng miệng,,,,,
Chiều,Vui,21,5,Mát,đồ ăn vặt,Quán Vỉa Hè,ăn kiêng,Đang giảm giá,hot trend,Món Tráng miệng,,,,,
Chiều,Khó chịu,19,5,Lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn kiêng,có không gian ngoài trời,bình thường,Món Tráng miệng,,,,,
Đêm,Buồn,15,1,Quá Nóng,miền nam,Nhà Hàng Sang Trọng,ăn chay,Có giao hàng free,đặc sản,Món lạnh,,,,,
Chiều,Buồn,25,1,Nóng,Trung quốc,Nhà Hàng Sang Trọng,ăn kiêng,wifi miễn phí,bình thường,đồ ăn vặt,,,,,
Đêm,Buồn,17,1,Quá Nóng,hàn quốc,Nhà hàng bình dân,ăn chay,Có giao hàng free,hot trend,Món cho trẻ em,,,,,
Trưa,Khó chịu,29,3,Quá Nóng,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,wifi miễn phí,bestseller,Món lạnh,,,,,
Đêm,Bình thường,7,1,Hơi Nóng,hàn quốc,Quán Vỉa Hè,ăn chay,có không gian ngoài trời,đặc sản,Món cho trẻ em,,,,,
Sáng,Buồn,29,5,Mát,đồ ăn vặt,Nhà hàng bình dân,ăn kiêng,có phòng hút thuốc,bình thường,Món nước,,,,,
Sáng,Khó chịu,25,1,Hơi lạnh,Việt nam,Nhà Hàng Sang Trọng,ăn kiêng,Có giao hàng free,bình thường,Món cho trẻ em,,,,,
Chiều,Khó chịu,6,2,Hơi Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn kiêng,có phòng trông trẻ,bestseller,Món nước,,,,,
Tối,Khó chịu,16,3,Lạnh,miền nam,Quán Vỉa Hè,ăn chay,Có giao hàng free,hot trend,Món cho trẻ em,,,,,
Tối,Buồn,21,1,Hơi Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn kiêng,có phòng trông trẻ,hot trend,Món nước,,,,,
Tối,Khó chịu,38,2,Lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn chay,Có giao hàng free,bình thường,Món cho trẻ em,,,,,
Sáng,Khó chịu,14,4,Mát,Trung quốc,Quán Vỉa Hè,ăn thoải mái,Có giao hàng free,đặc sản,Món cho trẻ em,,,,,
Sáng,Vui,19,4,Mát,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn kiêng,có chỗ đỗ xe,bình thường,Món Tráng miệng,,,,,
Trưa,Khó chịu,33,1,Lạnh,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn thoải mái,Đang giảm giá,hot trend,Món nước,,,,,
Trưa,Khó chịu,21,5,Quá Nóng,Trung quốc,Nhà hàng bình dân,ăn chay,có phòng trông trẻ,đặc sản,Món lạnh,,,,,
Trưa,Bình thường,13,5,Hơi Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn chay,wifi miễn phí,đặc sản,Món lạnh,,,,,
Tối,Buồn,40,5,Quá Nóng,hàn quốc,Nhà Hàng Sang Trọng,ăn thoải mái,có không gian ngoài trời,hot trend,Món cho trẻ em,,,,,
Chiều,Buồn,16,1,Nóng,miền nam,Nhà hàng bình dân,ăn chay,có không gian ngoài trời,bình thường,Món Tráng miệng,,,,,
Tối,Vui,29,2,Hơi Nóng,Trung quốc,Quán Vỉa Hè,ăn thoải mái,Có giao hàng free,hot trend,Món cho trẻ em,,,,,
Đêm,Buồn,30,5,Hơi Nóng,Việt nam,Quán Vỉa Hè,ăn thoải mái,wifi miễn phí,bestseller,Món Tráng miệng,,,,,
Trưa,Vui,20,1,Lạnh,Việt nam,Nhà Hàng Sang Trọng,ăn thoải mái,wifi miễn phí,bestseller,Món Tráng miệng,,,,,
Đêm,Vui,8,3,Qúa lạnh,miền nam,Nhà hàng bình dân,ăn thoải mái,có phòng trông trẻ,hot trend,Món Tráng miệng,,,,,
Sáng,Buồn,16,4,Hơi lạnh,Trung quốc,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,hot trend,Món cho trẻ em,,,,,
Chiều,Bình thường,32,3,Hơi Nóng,Việt nam,Quán Vỉa Hè,ăn thoải mái,có không gian ngoài trời,bình thường,Món lạnh,,,,,
Chiều,Buồn,20,1,Hơi Nóng,hàn quốc,Nhà hàng bình dân,ăn thoải mái,có chỗ đỗ xe,đặc sản,Món Tráng miệng,,,,,
Sáng,Vui,22,3,Quá Nóng,hàn quốc,Quán Vỉa Hè,ăn thoải mái,wifi miễn phí,bình thường,Món nước,,,,,
Trưa,Buồn,23,1,Hơi Nóng,Việt nam,Quán Vỉa Hè,ăn chay,có không gian ngoài trời,hot trend,đồ ăn vặt,,,,,
Tối,Bình thường,40,3,Lạnh,Việt nam,Quán Vỉa Hè,ăn kiêng,Đang giảm giá,đặc sản,Món nước,,,,,
Trưa,Bình thường,13,2,Mát,Món cho trẻ em,Nhà hàng bình dân,ăn chay,wifi miễn phí,bình thường,Món nước,,,,,
Tối,Khó chịu,33,5,Quá Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn thoải mái,Có giao hàng free,bestseller,Món lạnh,,,,,
Sáng,Bình thường,39,4,Hơi Nóng,miền nam,Quán Vỉa Hè,ăn chay,có không gian ngoài trời,bình thường,Món cho trẻ em,,,,,
Đêm,Vui,15,2,Hơi Nóng,miền nam,Nhà hàng bình dân,ăn thoải mái,Đang giảm giá,bestseller,Món nước,,,,,
Chiều,Vui,24,3,Quá Nóng,miền nam,Nhà Hàng Sang Trọng,ăn chay,có chỗ đỗ xe,hot trend,Món lạnh,,,,,
Trưa,Khó chịu,23,1,Hơi lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn thoải mái,Có giao hàng free,hot trend,Món lạnh,,,,,
Trưa,Vui,5,3,Qúa lạnh,hàn quốc,Nhà hàng bình dân,ăn kiêng,có không gian ngoài trời,bình thường,Món cho trẻ em,,,,,
Sáng,Vui,32,3,Hơi Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn thoải mái,có không gian ngoài trời,hot trend,đồ ăn vặt,,,,,
Trưa,Bình thường,8,2,Mát,Việt nam,Nhà hàng bình dân,ăn thoải mái,Có giao hàng free,bình thường,Món cho trẻ em,,,,,
Đêm,Buồn,7,2,Qúa lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn chay,có phòng trông trẻ,bestseller,Món lạnh,,,,,
Trưa,Buồn,30,5,Mát,hàn quốc,Nhà Hàng Sang Trọng,ăn chay,có phòng hút thuốc,hot trend,Món Tráng miệng,,,,,
Tối,Bình thường,7,4,Nóng,Món cho trẻ em,Nhà hàng bình dân,ăn chay,có phòng trông trẻ,bestseller,Món Tráng miệng,,,,,
Trưa,Buồn,37,3,Hơi Nóng,Món cho trẻ em,Nhà hàng bình dân,ăn thoải mái,Có giao hàng free,bestseller,Món nước,,,,,
Sáng,Bình thường,39,5,Lạnh,Việt nam,Nhà hàng bình dân,ăn chay,có phòng hút thuốc,bình thường,đồ ăn vặt,,,,,
Tối,Bình thường,30,1,Lạnh,Việt nam,Nhà hàng bình dân,ăn chay,Đang giảm giá,đặc sản,đồ ăn vặt,,,,,
Tối,Khó chịu,40,3,Nóng,Món cho trẻ em,Quán Vỉa Hè,ăn kiêng,có phòng trông trẻ,hot trend,đồ ăn vặt,,,,,
Chiều,Vui,13,1,Lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn thoải mái,Đang giảm giá,hot trend,Món Tráng miệng,,,,,
Trưa,Bình thường,20,1,Hơi Nóng,hàn quốc,Nhà hàng bình dân,ăn thoải mái,có không gian ngoài trời,đặc sản,Món nước,,,,,
Tối,Buồn,15,4,Hơi lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn chay,wifi miễn phí,hot trend,Món nước,,,,,
Sáng,Buồn,18,2,Quá Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn kiêng,wifi miễn phí,bình thường,Món lạnh,,,,,
Đêm,Bình thường,18,1,Quá Nóng,Việt nam,Nhà Hàng Sang Trọng,ăn chay,Đang giảm giá,bestseller,đồ ăn vặt,,,,,
Đêm,Khó chịu,26,3,Lạnh,Trung quốc,Quán Vỉa Hè,ăn kiêng,có phòng hút thuốc,bestseller,Món cho trẻ em,,,,,
Đêm,Khó chịu,33,4,Nóng,Món cho trẻ em,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,bestseller,Món cho trẻ em,,,,,
Đêm,Buồn,30,4,Hơi lạnh,Trung quốc,Quán Vỉa Hè,ăn thoải mái,có không gian ngoài trời,đặc sản,đồ ăn vặt,,,,,
Chiều,Bình thường,27,4,Lạnh,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn kiêng,wifi miễn phí,bình thường,Món Tráng miệng,,,,,
Tối,Bình thường,31,1,Mát,Việt nam,Quán Vỉa Hè,ăn chay,Có giao hàng free,bestseller,đồ ăn vặt,,,,,
Tối,Khó chịu,28,1,Lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn kiêng,có phòng hút thuốc,đặc sản,Món Tráng miệng,,,,,
Tối,Bình thường,27,4,Hơi lạnh,Trung quốc,Nhà hàng bình dân,ăn thoải mái,có chỗ đỗ xe,bestseller,Món lạnh,,,,,
Đêm,Buồn,40,2,Hơi lạnh,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn kiêng,wifi miễn phí,hot trend,Món Tráng miệng,,,,,
Chiều,Khó chịu,20,2,Nóng,miền nam,Nhà hàng bình dân,ăn thoải mái,có không gian ngoài trời,bestseller,Món Tráng miệng,,,,,
Đêm,Vui,34,3,Qúa lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn chay,có phòng hút thuốc,bình thường,Món Tráng miệng,,,,,
Chiều,Vui,24,3,Hơi lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn kiêng,Có giao hàng free,bestseller,đồ ăn vặt,,,,,
Trưa,Vui,36,3,Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn kiêng,Có giao hàng free,hot trend,Món Tráng miệng,,,,,
Tối,Khó chịu,13,5,Lạnh,Việt nam,Nhà Hàng Sang Trọng,ăn kiêng,Có giao hàng free,đặc sản,Món lạnh,,,,,
Sáng,Vui,15,1,Hơi Nóng,hàn quốc,Quán Vỉa Hè,ăn kiêng,có không gian ngoài trời,bình thường,Món Tráng miệng,,,,,
Trưa,Bình thường,20,2,Nóng,Món cho trẻ em,Quán Vỉa Hè,ăn kiêng,wifi miễn phí,hot trend,Món nước,,,,,
Trưa,Buồn,27,4,Hơi Nóng,hàn quốc,Nhà Hàng Sang Trọng,ăn chay,có phòng trông trẻ,đặc sản,đồ ăn vặt,,,,,
Trưa,Khó chịu,39,2,Qúa lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn thoải mái,wifi miễn phí,bình thường,Món nước,,,,,
Đêm,Khó chịu,36,1,Mát,miền nam,Nhà Hàng Sang Trọng,ăn chay,có phòng hút thuốc,bình thường,đồ ăn vặt,,,,,
Đêm,Vui,31,3,Mát,Việt nam,Nhà Hàng Sang Trọng,ăn kiêng,có chỗ đỗ xe,hot trend,Món nước,,,,,
Tối,Buồn,32,5,Qúa lạnh,Trung quốc,Quán Vỉa Hè,ăn kiêng,có không gian ngoài trời,bestseller,Món nước,,,,,
Trưa,Vui,30,5,Hơi lạnh,đồ ăn vặt,Quán Vỉa Hè,ăn thoải mái,wifi miễn phí,bình thường,đồ ăn vặt,,,,,
